stevilo_mrtvih,potniki
55,137(0)
8,8(0)
7,7(0)
52,52(0)
31,31(0)
26,26(0)
9,9(0)
17,17(0)
2,2(0)
2,2(0)
14,14(0)
2,2(0)
1,1(0)
4,4(0)
4,4(0)
11,11(0)
60,103(0)
22,22(0)
256,256(0)
25,25(0)
7,9(0)
94,94(0)
3,3(0)
1,72(0)
21,21(0)
2,14(0)
13,13(0)
38,38(0)
3,9(0)
2,16(0)
4,5(0)
9,9(0)
0,0(35)
49,54(0)
167,167(0)
4,121(0)
11,11(0)
13,13(0)
37,37(0)
22,150(0)
22,22(0)
19,19(0)
13,13(0)
23,26(0)
1,16(0)
25,25(0)
54,92(0)
17,17(0)
13,13(0)
59,59(0)
60,60(0)
2,2(0)
67,67(15)
16,384(1)
3,4(0)
5,5(0)
3,3(0)
14,14(0)
3,80(0)
34,44(0)
70,93(0)
2,2(0)
13,54(0)
21,23(0)
103,103(0)
45,47(0)
40,40(0)
72,82(0)
6,44(0)
63,106(0)
11,14(0)
22,22(0)
50,51(0)
54,54(0)
10,10(0)
9,9(0)
14,17(0)
36,36(0)
9,22(0)
9,9(0)
6,6(1)
2,2(0)
40,40(0)
27,45(0)
4,4(0)
2,2(0)
14,14(0)
2,6(0)
183,183(0)
2,2(0)
14,16(0)
8,8(0)
7,30(0)
53,53(0)
46,46(0)
8,29(0)
45,45(0)
50,50(0)
4,6(1)
1,163(0)
5,12(44)
2,33(0)
154,155(2)
83,83(0)
9,9(0)
15,15(0)
5,5(0)
2,9(0)
49,49(0)
37,37(0)
9,9(0)
10,11(10)
10,10(0)
28,82(0)
18,21(0)
159,159(0)
115,115(0)
14,14(0)
43,43(0)
42,43(0)
15,15(0)
29,29(0)
16,16(0)
15,15(0)
17,17(0)
16,16(0)
9,9(0)
11,143(0)
108,108(0)
9,17(0)
10,11(0)
27,31(0)
16,16(0)
21,21(0)
12,12(0)
20,51(0)
15,15(0)
17,17(0)
23,23(0)
17,17(0)
143,143(0)
4,4(0)
2,112(0)
29,29(0)
24,24(0)
17,17(0)
29,29(0)
1,95(0)
36,36(0)
0,45(0)
6,6(0)
2,2(0)
22,22(0)
21,25(0)
3,136(0)
290,290(0)
8,8(0)
3,3(0)
6,6(0)
29,37(0)
39,39(0)
30,30(0)
4,4(0)
1,20(0)
7,89(0)
14,108(0)
20,20(0)
76,90(0)
7,7(0)
35,104(0)
34,34(0)
8,8(0)
6,6(0)
44,48(2)
6,17(0)
33,52(0)
124,129(0)
34,34(0)
12,69(0)
1,29(0)
6,12(0)
4,4(0)
14,14(0)
6,14(0)
5,5(0)
25,25(0)
77,83(0)
8,8(5)
259,259(11)
47,126(0)
19,19(0)
26,29(0)
3,3(0)
144,144(0)
4,4(0)
9,356(0)
2,2(0)
10,10(0)
24,69(0)
2,2(0)
2,2(0)
19,34(0)
3,3(18)
22,22(0)
11,11(0)
5,5(0)
6,19(0)
16,16(0)
10,?(0)
176,187(0)
6,22(0)
20,113(1)
6,39(0)
62,62(0)
12,13(0)
3,47(0)
30,30(0)
2,2(0)
2,5(0)
10,10(0)
112,298(0)
3,22(0)
1,98(8)
30,30(0)
42,48(0)
13,19(0)
75,199(4)
3,3(0)
34,34(0)
16,16(0)
10,10(0)
2,2(0)
34,40(0)
54,54(0)
13,54(0)
126,126(45)
55,55(0)
6,6(0)
22,22(0)
171,171(0)
2,7(0)
2,63(0)
26,26(0)
24,24(0)
11,11(0)
7,7(0)
10,21(0)
9,9(0)
4,4(0)
5,5(0)
5,5(0)
12,12(0)
57,57(0)
15,15(0)
127,146(0)
36,36(0)
54,54(0)
20,20(0)
2,10(0)
18,18(0)
34,42(0)
24,24(0)
1,52(0)
107,107(3)
5,5(0)
3,7(0)
8,8(0)
5,5(0)
24,28(0)
6,6(0)
7,7(0)
5,5(0)
9,16(0)
27,71(0)
23,23(0)
1,1(0)
25,25(0)
19,19(0)
73,158(0)
30,30(0)
28,28(0)
2,2(0)
1,1(0)
15,15(0)
2,40(2)
92,146(0)
29,29(0)
1,1(0)
0,1(50)
11,13(0)
3,3(0)
4,46(0)
11,11(0)
25,25(0)
5,5(0)
20,22(0)
20,24(0)
7,24(0)
1,4(0)
10,10(0)
3,3(24)
20,40(0)
10,10(0)
8,119(0)
21,21(4)
23,42(0)
2,2(0)
0,85(0)
8,12(0)
30,30(0)
9,9(0)
47,47(0)
83,83(0)
5,5(0)
13,17(0)
3,10(0)
18,18(0)
8,8(0)
4,128(0)
12,12(0)
4,4(0)
128,226(0)
1,97(0)
4,4(0)
11,31(0)
46,46(0)
16,16(0)
15,15(0)
38,38(0)
13,13(0)
8,198(0)
10,10(0)
10,12(0)
21,22(0)
1,21(0)
14,14(0)
34,101(0)
63,63(0)
22,22(0)
2,2(0)
20,72(0)
47,47(0)
25,25(0)
45,45(0)
10,10(0)
9,9(0)
98,98(0)
27,27(0)
34,63(0)
28,28(0)
5,5(2)
6,7(0)
23,23(0)
11,22(0)
13,13(0)
7,7(0)
13,14(0)
13,181(0)
4,10(0)
223,223(0)
2,3(0)
7,7(0)
2,18(0)
4,53(0)
10,10(0)
3,3(0)
15,15(0)
13,15(0)
261,261(0)
9,9(0)
6,10(0)
9,9(0)
69,69(0)
4,4(0)
3,3(0)
3,10(0)
14,20(0)
14,14(0)
13,13(0)
4,4(0)
2,2(0)
1,16(0)
10,10(0)
15,15(0)
1,10(0)
134,134(2)
12,12(0)
17,17(0)
3,3(0)
5,18(0)
40,40(0)
51,51(0)
15,15(2)
20,20(0)
23,23(0)
3,3(0)
1,3(0)
41,41(0)
16,16(0)
27,30(0)
0,129(0)
5,5(0)
87,96(0)
47,47(0)
12,12(0)
30,56(0)
3,4(0)
1,?(0)
5,5(0)
3,8(0)
27,51(0)
7,7(0)
1,12(0)
3,13(0)
7,10(0)
46,46(6)
11,15(0)
16,22(0)
9,9(0)
39,39(0)
47,47(0)
5,5(0)
3,3(0)
10,12(0)
19,19(0)
1,1(0)
29,34(0)
57,57(0)
24,24(4)
8,8(0)
70,70(0)
4,4(0)
0,292(0)
113,113(0)
108,126(0)
10,10(0)
3,3(0)
8,41(0)
3,3(0)
84,84(0)
3,17(0)
1,43(1)
9,16(0)
7,7(0)
3,3(0)
11,11(0)
10,10(0)
158,158(0)
167,167(0)
4,4(39)
6,6(0)
14,35(0)
1,13(0)
31,31(0)
15,16(0)
8,11(0)
13,14(0)
20,20(0)
33,33(0)
30,31(0)
34,34(0)
141,141(0)
13,13(0)
9,9(0)
37,37(0)
61,61(0)
56,340(0)
157,157(0)
4,4(0)
4,23(0)
17,44(0)
2,2(0)
2,2(0)
3,21(0)
16,16(0)
133,133(0)
30,30(0)
2,2(0)
6,6(0)
83,97(0)
6,6(0)
0,5(0)
4,4(0)
11,11(0)
2,264(0)
8,8(0)
32,40(0)
55,118(0)
30,30(0)
76,76(0)
2,2(0)
3,5(0)
132,132(0)
2,2(0)
9,11(0)
1,3(0)
41,41(0)
41,43(0)
23,23(0)
1,2(0)
55,113(0)
68,110(0)
1,17(0)
19,19(0)
0,3(0)
24,24(0)
82,86(0)
2,70(0)
27,27(0)
108,132(0)
60,60(0)
9,9(0)
2,80(0)
7,20(0)
7,7(0)
12,102(0)
17,17(0)
116,116(0)
18,18(0)
7,7(0)
3,3(0)
18,18(0)
29,29(0)
36,36(0)
124,124(1)
5,8(0)
13,13(0)
1,2(0)
31,31(0)
0,116(0)
4,4(0)
8,8(0)
32,32(0)
2,2(0)
2,2(0)
6,6(0)
75,75(0)
5,5(0)
3,24(0)
12,12(0)
17,17(0)
26,26(0)
11,11(0)
264,271(0)
8,16(0)
4,11(0)
7,29(0)
29,29(0)
160,160(0)
9,9(0)
12,12(0)
12,12(0)
17,17(0)
50,70(0)
7,7(0)
80,93(0)
37,57(0)
3,7(0)
6,6(0)
5,9(0)
21,21(0)
18,18(0)
47,47(0)
6,7(0)
0,160(0)
3,3(0)
3,3(0)
44,44(0)
132,132(0)
3,5(0)
3,4(0)
5,39(0)
6,12(0)
28,28(0)
1,27(0)
8,20(0)
10,10(0)
66,66(0)
21,21(0)
22,22(0)
23,23(0)
7,19(0)
68,68(0)
14,14(0)
4,4(0)
6,30(0)
1,1(0)
7,7(0)
2,142(0)
22,22(0)
1,293(0)
15,20(0)
2,2(0)
7,9(0)
28,28(0)
5,5(0)
3,239(0)
57,76(0)
12,12(0)
14,14(0)
51,52(0)
2,4(0)
2,24(0)
10,10(0)
3,19(0)
3,3(0)
9,10(0)
60,60(0)
1,9(0)
52,52(0)
8,8(0)
7,7(0)
9,9(0)
6,6(0)
12,12(0)
2,11(0)
6,10(0)
5,21(0)
13,14(0)
12,12(0)
48,48(0)
16,80(0)
2,2(0)
3,3(0)
15,15(0)
1,18(0)
34,34(0)
2,2(0)
3,3(0)
65,65(0)
10,10(0)
10,10(0)
10,29(0)
1,1(0)
7,7(0)
8,8(0)
21,22(0)
3,51(0)
81,81(0)
34,53(0)
42,43(0)
24,24(0)
15,15(0)
8,10(0)
1,14(0)
15,15(0)
53,53(0)
9,137(0)
63,63(0)
10,10(0)
2,6(0)
72,78(0)
54,82(0)
98,98(0)
49,49(0)
141,144(0)
160,164(0)
2,12(0)
1,10(0)
2,6(225)
14,14(0)
39,39(0)
4,4(24)
4,4(0)
189,189(0)
20,20(0)
11,15(0)
91,91(0)
8,8(0)
123,123(0)
23,23(0)
12,12(0)
35,35(0)
20,20(0)
6,17(0)
3,3(0)
53,53(0)
2,2(0)
16,19(0)
110,110(0)
1,10(0)
3,3(0)
10,10(0)
7,7(0)
18,28(0)
3,275(0)
2,12(0)
2,142(0)
20,20(0)
9,9(0)
34,41(0)
1,18(0)
230,230(0)
4,4(0)
8,49(0)
2,2(0)
1,3(0)
9,9(0)
3,3(0)
12,12(0)
141,141(0)
32,32(0)
70,70(0)
6,21(0)
6,19(0)
2,23(2)
4,4(30)
5,34(0)
95,95(3)
16,16(0)
143,143(0)
8,8(0)
349,349(0)
14,15(0)
14,14(0)
10,11(0)
127,175(0)
23,23(0)
14,15(0)
16,17(2)
2,2(0)
18,18(0)
4,4(0)
6,6(0)
2,2(0)
22,22(0)
3,5(0)
29,29(0)
1,2(0)
5,16(0)
25,52(0)
37,37(0)
73,73(0)
1,52(0)
5,5(0)
16,16(0)
88,88(0)
50,50(0)
3,10(0)
2,2(0)
5,5(0)
3,7(0)
6,6(0)
14,14(0)
15,53(0)
36,36(0)
35,74(0)
27,27(0)
7,12(0)
2,2(0)
25,29(0)
1,60(0)
44,44(0)
30,50(0)
2,4(0)
1,55(0)
1,17(0)
228,254(0)
4,4(1)
16,16(0)
12,12(0)
65,66(0)
10,10(0)
22,22(0)
33,33(0)
234,234(0)
9,9(0)
74,74(0)
5,5(0)
1,1(0)
2,26(0)
8,8(0)
23,23(44)
4,17(0)
10,19(0)
85,86(0)
70,70(0)
104,104(0)
5,5(0)
5,5(0)
1,393(0)
10,10(0)
2,2(0)
51,51(0)
16,45(0)
104,104(0)
0,2(20)
7,7(0)
5,5(0)
27,57(0)
196,196(7)
6,6(0)
13,13(0)
45,45(0)
0,127(3)
22,55(1)
2,4(0)
53,53(0)
75,88(0)
39,42(0)
26,26(0)
5,5(0)
28,28(0)
11,11(0)
6,6(0)
8,8(0)
3,3(0)
10,10(0)
4,4(0)
4,18(0)
2,2(0)
5,24(0)
15,15(0)
6,6(2)
5,5(0)
1,13(0)
5,10(0)
18,18(0)
1,2(0)
44,44(0)
70,91(10)
229,229(0)
24,24(0)
5,5(0)
5,5(0)
38,38(0)
1,22(0)
55,55(0)
1,27(0)
41,41(0)
0,37(4)
4,11(0)
11,18(0)
13,13(0)
1,1(0)
7,10(0)
102,146(0)
11,11(0)
1,10(0)
5,5(0)
14,14(0)
9,9(0)
2,2(0)
4,4(0)
2,2(0)
3,4(0)
28,28(0)
14,14(13)
11,11(0)
7,7(0)
61,61(0)
4,31(0)
19,19(3)
8,8(8)
1,2(0)
5,5(0)
6,6(0)
5,5(0)
3,3(0)
7,12(0)
5,5(0)
2,2(0)
11,145(0)
50,50(0)
1,1(0)
7,7(0)
17,17(0)
1,2(0)
1,5(0)
8,8(0)
5,18(0)
5,5(0)
4,4(0)
3,3(0)
1,517(0)
7,7(0)
17,17(0)
18,18(0)
3,315(0)
1,96(0)
2,33(0)
63,103(2)
15,15(0)
1,245(0)
7,13(0)
2,2(0)
5,5(0)
12,20(0)
6,6(0)
6,6(0)
217,217(0)
18,18(0)
24,24(0)
5,7(0)
17,17(0)
3,94(0)
35,35(0)
16,314(2)
4,4(0)
1,189(0)
22,22(0)
10,10(0)
6,6(0)
1,16(1)
10,10(0)
22,41(0)
5,20(0)
169,179(0)
88,88(0)
8,8(0)
3,3(0)
0,142(0)
9,9(0)
10,10(0)
2,2(0)
7,7(0)
6,8(2)
3,33(0)
40,40(0)
3,3(0)
24,24(0)
131,131(0)
4,4(0)
2,5(0)
1,1(0)
6,6(0)
3,10(0)
19,19(0)
1,298(0)
8,8(0)
7,52(0)
44,44(7)
3,3(0)
5,5(0)
14,15(0)
19,19(0)
13,19(0)
1,3(0)
55,58(5)
2,2(0)
2,2(0)
7,7(0)
109,109(4)
13,13(0)
25,25(0)
6,6(0)
14,14(0)
11,11(0)
27,27(0)
143,143(0)
7,7(0)
8,8(0)
14,14(0)
0,88(4)
3,3(0)
2,3(0)
3,3(0)
8,17(0)
86,86(0)
44,44(0)
83,179(0)
2,11(0)
1,1(0)
57,57(0)
1,114(0)
6,6(0)
16,16(6)
9,9(0)
2,2(0)
24,24(0)
10,10(0)
3,6(0)
3,3(0)
2,6(0)
10,10(0)
2,2(0)
21,21(0)
1,5(0)
3,174(0)
19,19(1)
3,3(0)
18,18(0)
14,30(0)
16,16(0)
10,10(0)
34,34(0)
30,30(0)
5,5(0)
7,7(0)
1,19(0)
145,145(0)
8,12(0)
13,13(0)
10,10(0)
3,3(0)
6,7(0)
4,11(0)
2,2(0)
0,304(0)
4,47(0)
64,64(125)
92,92(2750)
65,65(2750)
44,44(0)
19,19(0)
1,82(0)
9,13(0)
78,78(0)
3,7(0)
114,114(4)
10,10(0)
10,10(0)
2,3(0)
3,5(0)
260,260(5)
27,27(0)
2,2(0)
2,17(0)
24,33(0)
1,13(0)
18,18(0)
6,6(0)
16,16(0)
8,9(0)
5,5(0)
7,7(0)
3,3(0)
5,17(0)
1,62(0)
26,26(0)
5,40(0)
92,92(0)
117,117(0)
1,10(0)
17,20(0)
10,10(0)
3,3(0)
17,17(0)
4,4(0)
2,2(0)
128,166(0)
3,8(0)
8,20(0)
74,77(78)
14,62(0)
112,112(0)
5,5(0)
225,225(0)
6,6(0)
3,3(0)
20,25(0)
3,10(0)
71,71(0)
27,27(0)
10,10(0)
11,11(0)
4,4(0)
0,2(85)
14,16(0)
10,10(0)
5,5(0)
121,147(0)
18,18(0)
16,16(0)
23,31(0)
2,2(0)
3,4(0)
12,12(5)
20,22(0)
7,10(0)
2,2(0)
19,34(0)
1,20(0)
8,8(0)
1,1(0)
2,2(0)
44,44(0)
3,16(0)
1,16(0)
21,21(0)
75,80(0)
46,46(0)
7,7(0)
3,13(0)
6,6(0)
8,8(0)
2,3(0)
3,7(0)
275,275(0)
17,17(0)
11,25(0)
102,103(0)
4,16(0)
3,3(0)
129,200(0)
75,75(0)
4,4(0)
2,2(0)
5,5(0)
8,10(0)
4,4(0)
4,4(0)
1,24(0)
7,7(0)
3,3(0)
4,4(0)
4,4(11)
4,4(0)
5,5(0)
117,117(0)
4,10(0)
2,10(0)
14,14(0)
5,5(0)
2,2(0)
1,16(0)
2,2(0)
20,20(0)
21,21(0)
2,2(0)
8,8(0)
6,6(0)
1,2(0)
7,7(0)
3,3(0)
4,4(0)
2,2(0)
1,2(0)
5,5(0)
3,3(0)
1,1(0)
15,36(0)
4,4(0)
2,7(0)
17,22(0)
1,1(0)
20,24(13)
2,3(0)
3,3(0)
2,2(0)
140,161(0)
148,148(0)
37,37(0)
9,9(0)
43,46(0)
3,7(0)
5,5(0)
4,5(0)
7,7(0)
3,7(0)
6,10(0)
7,7(0)
33,33(0)
7,7(0)
1,12(0)
2,2(0)
3,3(0)
19,30(0)
24,24(0)
1,2(0)
6,11(0)
2,3(0)
1,2(0)
25,25(0)
46,46(0)
41,41(0)
1,3(0)
2,2(0)
17,17(0)
1,1(0)
4,4(0)
7,7(0)
2,2(0)
3,3(0)
2,2(0)
13,15(0)
5,5(0)
10,10(0)
3,21(0)
53,53(0)
3,3(0)
6,6(0)
3,6(0)
25,163(0)
16,16(0)
1,7(0)
2,2(1)
9,9(0)
20,20(0)
1,1(0)
31,31(0)
2,2(0)
10,10(0)
104,104(0)
7,7(0)
8,8(0)
2,13(0)
15,18(0)
2,2(0)
2,2(0)
28,52(0)
8,8(0)
8,14(0)
9,9(0)
18,18(0)
3,169(0)
11,11(0)
13,13(0)
2,2(0)
10,11(0)
15,15(0)
10,10(0)
13,13(0)
27,27(0)
7,42(0)
60,60(0)
0,309(0)
16,39(0)
14,14(0)
121,121(0)
160,160(0)
40,98(0)
99,117(44)
11,11(0)
14,14(0)
2,100(0)
117,117(0)
94,94(14)
0,103(1)
108,110(0)
20,20(0)
23,23(0)
3,3(0)
12,12(0)
6,6(0)
11,11(0)
42,43(0)
3,3(0)
1,1(0)
19,19(0)
14,17(0)
6,6(0)
2,16(3)
113,113(0)
1,3(0)
4,4(0)
40,40(0)
5,7(0)
9,9(0)
5,5(0)
125,203(0)
45,45(0)
17,17(0)
17,17(0)
1,1(0)
3,3(0)
170,170(0)
49,50(0)
29,148(0)
14,14(0)
12,15(0)
13,18(0)
154,161(0)
4,16(0)
15,15(0)
96,105(0)
12,12(0)
5,5(0)
38,38(0)
3,3(0)
102,102(0)
34,35(0)
12,12(0)
0,54(1)
22,140(0)
4,7(0)
1,5(0)
4,4(0)
6,57(0)
11,11(0)
3,5(0)
18,18(0)
114,114(0)
9,9(0)
3,3(0)
13,20(0)
21,22(0)
6,6(0)
15,22(0)
1,25(0)
22,22(0)
5,78(0)
3,3(6)
1,5(0)
187,187(12)
1,9(0)
5,5(0)
9,9(0)
20,20(0)
6,10(0)
0,165(0)
2,2(0)
14,14(0)
14,15(0)
8,8(0)
90,130(0)
1,6(0)
21,22(30)
17,17(0)
0,4(2)
57,57(0)
4,4(0)
2,2(0)
18,18(0)
11,11(0)
0,152(0)
20,20(0)
3,3(0)
46,46(0)
5,20(0)
10,10(0)
19,19(0)
1,1(0)
8,8(0)
0,85(47)
13,13(0)
20,20(0)
2,5(0)
4,6(0)
9,9(0)
11,12(0)
3,136(2)
4,4(0)
32,214(0)
1,1(0)
10,10(0)
18,18(0)
7,8(0)
6,7(0)
4,4(0)
1,2(0)
0,8(3)
8,8(0)
5,7(0)
9,13(0)
10,10(0)
3,3(0)
154,172(0)
68,90(0)
3,3(0)
3,3(0)
7,7(0)
88,88(0)
4,6(0)
4,5(0)
18,19(0)
4,4(0)
7,7(0)
7,8(0)
7,7(0)
3,3(0)
3,3(0)
12,12(0)
2,2(0)
8,9(0)
13,13(0)
0,155(0)
24,28(0)
49,49(1)
13,13(0)
5,5(0)
9,134(0)
11,11(0)
17,18(0)
14,14(0)
2,2(0)
16,16(0)
24,24(0)
6,6(0)
7,7(0)
18,18(0)
112,112(2)
4,4(?)
228,228(0)
1,1(0)
13,13(0)
3,3(0)
152,153(0)
26,26(0)
168,168(0)
16,21(0)
16,153(0)
16,16(0)
1,72(0)
9,9(0)
13,13(0)
7,7(0)
10,13(0)
1,3(0)
3,3(0)
4,4(0)
6,6(0)
1,10(0)
11,11(0)
11,11(0)
1,15(0)
3,3(0)
3,7(0)
6,8(0)
2,2(0)
90,90(0)
2,10(0)
8,8(1)
11,11(2)
96,96(0)
10,18(?)
5,5(2)
3,6(0)
103,104(0)
8,8(0)
44,44(0)
159,166(0)
11,11(0)
7,7(0)
12,14(0)
152,152(0)
4,4(0)
3,3(0)
12,15(0)
5,9(0)
2,131(0)
4,4(0)
14,14(0)
44,96(0)
19,20(0)
10,10(0)
2,2(0)
9,9(0)
17,51(0)
10,13(0)
28,28(0)
8,8(0)
2,2(0)
68,68(0)
21,21(0)
7,10(0)
8,8(4)
2,169(0)
22,22(0)
3,124(0)
77,105(0)
9,9(0)
6,12(0)
14,14(0)
9,9(14)
32,33(0)
18,23(0)
7,7(0)
27,27(0)
22,22(0)
47,52(0)
9,9(0)
77,115(0)
7,37(0)
16,16(0)
80,80(0)
2,2(0)
38,38(0)
11,11(0)
12,15(0)
4,4(0)
21,21(0)
8,9(0)
44,45(0)
30,36(0)
1,1(10)
2,9(0)
19,19(0)
18,18(0)
28,32(0)
1,9(0)
5,5(0)
8,8(0)
5,5(0)
3,3(0)
3,5(0)
2,2(0)
12,12(4)
33,43(0)
127,127(0)
13,13(0)
45,45(0)
15,21(0)
0,4(12)
153,153(10)
14,14(0)
13,13(0)
7,7(4)
3,4(0)
32,32(0)
10,14(0)
19,19(0)
15,22(0)
3,4(0)
10,10(0)
7,7(25)
11,11(0)
7,7(0)
27,27(0)
1,71(1)
5,8(0)
3,3(0)
6,6(0)
21,21(0)
5,45(0)
7,10(0)
2,2(0)
0,108(0)
7,7(0)
4,4(0)
20,20(0)
3,307(0)
10,10(0)
4,6(0)
2,2(0)
16,20(0)
2,16(0)
49,49(0)
8,18(0)
13,21(0)
5,7(0)
50,50(0)
3,3(5)
33,33(0)
5,5(0)
9,9(0)
2,7(0)
76,77(0)
18,18(0)
11,11(0)
239,239(0)
2,2(0)
8,8(0)
8,8(0)
6,6(0)
16,17(0)
49,49(0)
4,4(0)
18,19(0)
298,298(0)
48,58(0)
116,116(0)
39,48(0)
7,7(0)
3,3(0)
4,9(0)
2,4(0)
6,6(0)
162,162(0)
37,37(0)
43,58(0)
10,10(0)
150,150(0)
9,9(0)
122,122(19)
11,11(0)
1,6(0)
54,54(0)
7,7(0)
3,7(0)
11,11(2)
10,10(0)
4,4(0)
224,224(0)
41,43(0)
7,7(0)
15,26(0)
2,2(0)
1,72(0)
23,23(0)
2,11(0)
3,4(0)
22,22(0)
62,62(0)
7,7(0)
5,5(0)
12,12(0)
13,13(0)
66,66(0)
29,29(0)
16,16(?)
0,300(1)
5,5(0)
5,5(0)
71,77(0)
13,13(0)
48,48(0)
13,13(0)
5,6(0)
92,92(0)
4,4(35)
5,5(0)
7,7(0)
6,6(0)
2,2(0)
2,3(0)
122,122(0)
3,3(0)
16,16(0)
8,8(0)
7,7(0)
4,10(0)
11,11(0)
1,25(0)
12,12(0)
12,12(0)
3,7(0)
71,71(0)
66,66(0)
39,39(0)
5,6(0)
51,71(0)
257,257(0)
1,149(0)
9,9(0)
112,113(0)
1,19(1)
20,20(1)
1,47(0)
189,189(0)
1,128(0)
